No,category,problem,group,article_no,article_link,title,authors,publish_date,image_url,Institution_name,Supplier_name,Item,Date_order,Date_payments,Unit_price,Quantity,UOM,order_num,pay_num
2542,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,South african airways (pty) limited,Levtrade International,PPE000 Other PPEs_Powdered Gloves Medium,2020-05-29,2020-05-29,110.98,11,Box of 100,1220.73,1221
2627,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Small enteprise development agency (seda),Green Hygiene,PPE021 Sanitising of buildings,2020-05-29,2020-06-26,25987.70,1,Each,25987.7,25988
2781,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Department of water and sanitation,Green Hygiene,PPE000 Other PPEs_LIQUID SOAP REFILL 5L,2020-04-29,2020-04-30,85.00,12,Each,1020,1020
2808,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Department of water and sanitation,Green Hygiene,PPE011 Digital thermometer_FOREHEAD THERMOMETER,2020-04-29,2020-04-30,1450.00,11,Each,15950,15950
2836,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Department of water and sanitation,Green Hygiene,PPE018 3 Layer fabric cloth masks_CLOTH FACE MASK 3 LAYERS,2020-04-29,2020-04-30,25.00,600,Each,15000,15000
2861,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Department of water and sanitation,Green Hygiene,PPE020 Hand sanitisers and disinfectants_HAND SANITIZER DISPENSER WALL MOUNTED,2020-04-29,2020-04-30,1450.00,12,Each,17400,17400
2862,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Department of water and sanitation,Green Hygiene,PPE020 Hand sanitisers and disinfectants_MEDICAL HAND SANITIZER WITH 70% ALC 5L,2020-04-29,2020-04-30,380.00,10,Each,3800,3800
2863,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Department of water and sanitation,Green Hygiene,PPE020 Hand sanitisers and disinfectants_MEDICAL HAND SANITIZER WITH 70%ALC 500ML,2020-04-29,2020-04-30,60.00,60,Each,3600,3600
3298,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,South african airways (pty) limited,Levtrade International,PPE000 Other PPEs_Coverall XXL,2020-07-28,2020-07-28,109.25,126,Each,13765.5,13766
3299,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,South african airways (pty) limited,Levtrade International,PPE000 Other PPEs_Nitrile Gloves Large,2020-07-28,2020-07-28,2.17,400,Each,869.4,869
