No,category,problem,group,article_no,article_link,title,authors,publish_date,image_url,Institution_name,Supplier_name,Item,Date_order,Date_payments,Unit_price,Quantity,UOM,order_num,pay_num
39210,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Coalition Trading 414,PPE021 Sanitising of buildings,,2020-11-19,1.00,265000,Other UOM,,
39211,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Kmm Travels,PPE021 Sanitising of buildings,,2020-11-19,1.00,265000,Other UOM,,
39212,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Abaphumeleli Trading 101,PPE021 Sanitising of buildings,,2020-10-21,1.00,265000,Other UOM,,
39213,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Tinissa Trading 28 Cc,PPE021 Sanitising of buildings,,2020-10-22,3.00,265000,Other UOM,,
39214,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Kamo-Thabi Trading,PPE021 Sanitising of buildings,,2020-11-25,1.00,265000,Other UOM,,
39215,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Basadiwee Trading Business Enter,PPE021 Sanitising of buildings,,2020-10-28,2.00,265000,Other UOM,,
39216,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Basetsana Ba Kopane Bookshop Ent,PPE021 Sanitising of buildings,,2020-10-28,1.00,265000,Other UOM,,
39217,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Jv Mmau Holdings,PPE021 Sanitising of buildings,,2020-10-28,2.00,265000,Other UOM,,
39218,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mapokane Enterprise Bookshop And,PPE021 Sanitising of buildings,,2020-10-28,2.00,265000,Other UOM,,
39219,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Msp Trading 261,PPE021 Sanitising of buildings,,2020-10-28,3.00,265000,Other UOM,,
39220,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Paintcol.Sa,PPE021 Sanitising of buildings,,2020-10-28,1.00,265000,Other UOM,,
39221,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Perugia  Projects,PPE021 Sanitising of buildings,,2020-10-28,1.00,265000,Other UOM,,
39222,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Tona Trading Enterprise,PPE021 Sanitising of buildings,,2020-10-28,1.00,265000,Other UOM,,
39223,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,True Hairess,PPE021 Sanitising of buildings,,2020-10-28,1.00,265000,Other UOM,,
39224,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Vengarex,PPE021 Sanitising of buildings,,2020-10-28,2.00,265000,Other UOM,,
39225,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Industrial Fan Engineering,PPE021 Sanitising of buildings,,2020-08-10,1.00,265050,Other UOM,,
39226,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,265600,Other UOM,,
39227,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Avhu Security And Guarding,PPE021 Sanitising of buildings,,2020-10-28,1.00,265650,Other UOM,,
39228,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,266800,Other UOM,,
39229,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,266900,Other UOM,,
39230,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,266900,Other UOM,,
39231,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,2.00,267200,Other UOM,,
39232,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,267250,Other UOM,,
39233,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,267900,Other UOM,,
39234,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,268000,Other UOM,,
39235,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mr Meyer,PPE021 Sanitising of buildings,,2020-08-10,1.00,268000,Other UOM,,
39236,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Tyger Roar Trading,PPE021 Sanitising of buildings,,2020-10-21,1.00,268000,Other UOM,,
39237,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mirosmart,PPE021 Sanitising of buildings,,2020-11-19,1.00,268065,Other UOM,,
39238,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,2.00,268100,Other UOM,,
39239,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,2.00,268500,Other UOM,,
39240,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,3.00,268800,Other UOM,,
39241,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Bonolanga Trading And Projects,PPE021 Sanitising of buildings,,2020-10-15,1.00,268835,Other UOM,,
39242,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Maanda Investments And Technolog,PPE021 Sanitising of buildings,,2020-08-10,1.00,268956,Other UOM,,
39243,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,269000,Other UOM,,
39244,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Invested Property Fund,PPE021 Sanitising of buildings,,2020-10-28,1.00,269000,Other UOM,,
39245,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,269100,Other UOM,,
39246,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Retavhi Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,269277.5,Other UOM,,
39247,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,2.00,269300,Other UOM,,
39248,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Thuso Enviro And Agric Developme,PPE021 Sanitising of buildings,,2020-08-10,1.00,269350,Other UOM,,
39249,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Tlotlomo Construction And Projec,PPE021 Sanitising of buildings,,2020-08-10,1.00,269372,Other UOM,,
39250,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,269600,Other UOM,,
39251,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,269700,Other UOM,,
39252,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,269800,Other UOM,,
39253,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Tlotlomo Construction And Projec,PPE021 Sanitising of buildings,,2020-08-10,1.00,269851,Other UOM,,
39254,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,269900,Other UOM,,
39255,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Ultimate Investment Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,269930,Other UOM,,
39256,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Kgopiso Construction & Cleaning,PPE021 Sanitising of buildings,,2020-08-10,1.00,269960,Other UOM,,
39257,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Seishoni Trading Enterprise,PPE021 Sanitising of buildings,,2020-08-10,1.00,269970,Other UOM,,
39258,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Easy B Success Solutions And Pro,PPE021 Sanitising of buildings,,2020-08-10,1.00,270000,Other UOM,,
39259,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Khuliso Construction And Trading,PPE021 Sanitising of buildings,,2020-08-10,1.00,270000,Other UOM,,
39260,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Lekopo Le Bakgalaka Son (Pty) Lt,PPE021 Sanitising of buildings,,2020-08-10,12.00,270000,Other UOM,,
39261,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Lemba Trading Enterprise,PPE021 Sanitising of buildings,,2020-08-10,1.00,270000,Other UOM,,
39262,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,2.00,270000,Other UOM,,
39263,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Melokuhle Construction And Proje,PPE021 Sanitising of buildings,,2020-08-10,15.00,270000,Other UOM,,
